Norman Wells,20,CA,1547319600,73,65.28,-126.83,-32.81,3.36
Isangel,68,VU,1547323511,100,-19.55,169.27,77.92,4.7
Athens,90,US,1547322900,65,34.8,-86.97,48.02,10.29
Nouadhibou,0,MR,1547319600,49,20.93,-17.03,69.8,9.17
Singaraja,36,ID,1547323518,100,-8.11,115.08,72.16,0.67
Liepaja,56,LV,1547320800,100,56.52,21.02,32.0,3.13
Nhulunbuy,40,AU,1547321400,94,-12.18,136.78,80.6,5.37
Apt,0,FR,1547321400,52,43.88,5.4,46.4,26.4
That Phanom,0,TH,1547323527,85,16.94,104.73,69.64,8.16
Northam,92,GB,1547319000,93,51.04,-4.21,48.2,17.22
Rundu,0,NA,1547323531,31,-17.91,19.77,74.41,6.26
Durgapur,0,IN,1547323533,80,23.54,87.34,49.39,2.8
Sunland Park,1,US,1547321700,37,31.8,-106.58,54.32,10.29
Maroantsetra,32,MG,1547323538,100,-15.43,49.74,74.54,2.68
Kyzyl,48,RU,1547323540,52,51.72,94.43,-19.42,2.68
Great Falls,1,US,1547319480,28,47.5,-111.29,46.22,10.29
Ponta do Sol,24,BR,1547323544,67,-20.63,-46.0,80.44,3.13
Cravo Norte,76,CO,1547323547,33,6.3,-70.2,94.61,12.19
Anadyr,0,RU,1547319600,75,64.73,177.51,-16.61,13.42
Bogashevo,0,RU,1547319600,82,56.37,85.14,-18.41,4.47
Mahebourg,40,MU,1547319600,74,-20.41,57.7,80.6,12.75
Dikson,76,RU,1547323555,100,73.51,80.55,-17.35,32.44
Novyye Gorki,92,RU,1547323558,86,56.73,41.06,14.56,10.96
Pitimbu,40,BR,1547319600,78,-7.47,-34.81,78.8,16.11
Saint George,75,GR,1547322600,74,39.45,22.34,37.4,4.7
Bagdarin,48,RU,1547323565,45,54.44,113.59,-17.94,2.46
Greenfield,20,US,1547322960,30,42.59,-72.6,28.04,5.59
Palmer,20,AU,1547321400,63,-34.85,139.16,60.8,13.87
Shakawe,8,BW,1547323572,36,-18.36,21.84,80.03,7.05
Huilong,92,CN,1547323574,96,28.89,110.18,33.64,2.35
Atambua,20,ID,1547323576,100,-9.11,124.89,78.64,3.24
Kenai,40,US,1547319360,72,60.55,-151.26,3.92,9.17
Ancud,75,CL,1547319600,62,-41.87,-73.83,59.0,9.17
Saint-Philippe,1,CA,1547321700,50,45.36,-73.48,12.02,4.7
Barry,90,GB,1547322600,100,51.4,-3.27,50.0,23.04
Bethel,90,US,1547321760,75,60.79,-161.76,-13.01,14.99
Canon City,0,US,1547323590,44,39.46,-117.13,40.66,3.47
Namibe,0,AO,1547323385,100,-15.19,12.15,74.23,8.84
Teya,40,MX,1547318700,42,21.05,-89.07,82.4,3.58
Adrar,0,DZ,1547319600,31,27.87,-0.29,50.0,9.17
Bastia,0,IT,1547322600,65,44.6,8.98,44.6,5.82
Goma,56,CD,1547323602,92,-1.67,29.23,59.83,3.13
Abalak,20,NE,1547323604,33,15.46,6.28,65.77,10.96
Coro,12,VE,1547323606,69,11.41,-69.67,81.38,9.28
Coihaique,20,CL,1547319600,41,-45.58,-72.07,59.0,4.7
Pattoki,48,PK,1547323611,99,31.02,73.85,50.47,2.8
Mukhen,0,RU,1547323613,55,48.19,136.14,-11.41,2.24
Chokurdakh,80,RU,1547323615,71,70.62,147.9,-23.52,7.16
Hirara,100,JP,1547323609,100,24.8,125.28,69.95,19.46
West Odessa,1,US,1547322780,41,31.84,-102.48,53.96,13.87
Leh,56,IN,1547323622,59,34.16,77.58,-9.3,1.23
Havoysund,40,NO,1547322600,98,71.0,24.66,32.0,27.51
Tingi,36,TZ,1547323627,100,-11.3,35.03,77.02,10.63
Gornopravdinsk,88,RU,1547323629,82,60.06,69.92,5.83,11.63
Ahipara,8,NZ,1547323631,70,-35.17,173.16,71.89,5.03
Klyavlino,92,RU,1547323633,98,54.26,52.03,35.75,12.75
Saint Anthony,1,US,1547319360,76,43.97,-111.68,17.06,3.36
Port Elizabeth,75,US,1547322840,30,39.31,-74.98,35.06,4.7
Deputatskiy,48,RU,1547323640,53,69.3,139.9,-32.11,2.8
Namatanai,68,PG,1547323642,100,-3.66,152.44,82.69,14.43
Batemans Bay,64,AU,1547323562,90,-35.71,150.18,66.44,6.15
Coquimbo,0,CL,1547319600,56,-29.95,-71.34,69.8,14.99
Najran,0,SA,1547319600,45,17.54,44.22,62.6,2.68
Puerto del Rosario,20,ES,1547321400,77,28.5,-13.86,64.4,6.93
Charlestown,20,US,1547322840,28,41.38,-71.64,32.0,13.87
Touros,75,BR,1547319600,74,-5.2,-35.46,82.4,13.87
Cap-aux-Meules,90,CA,1547322180,78,47.38,-61.86,14.0,18.34
Necochea,12,AR,1547323660,61,-38.55,-58.74,82.78,9.17
Barda,88,RU,1547323662,86,56.93,55.59,26.08,9.28
Itarema,68,BR,1547323639,93,-2.92,-39.92,77.02,4.59
Mahon,75,IE,1547323200,93,51.89,-8.4,48.2,5.82
Manacapuru,40,BR,1547319600,55,-3.3,-60.62,87.8,8.05
Taywarah,0,AF,1547323672,49,33.35,64.42,-3.99,1.34
Hasaki,90,JP,1547321400,86,35.73,140.83,39.2,8.05
Yumen,8,CN,1547323676,46,40.29,97.04,-5.11,3.58
Novyye Burasy,75,RU,1547319600,73,52.13,46.08,19.4,13.42
Shache,12,CN,1547323681,71,38.42,77.24,12.08,6.38
East London,0,ZA,1547323220,99,-33.02,27.91,73.1,17.67
Leningradskiy,8,RU,1547323524,100,69.38,178.42,-19.2,8.5
Vestmannaeyjar,92,IS,1547323576,100,63.44,-20.27,40.34,17.0
Podor,0,MR,1547319600,26,16.65,-14.96,82.4,2.24
San Patricio,36,PY,1547323295,93,-26.98,-56.83,79.27,3.13
Dakar,0,SN,1547321400,41,14.69,-17.45,75.2,6.93
